NOMBRES,N° PAREJA,CALIFICACIÓN DE 2 A 7 PUNTOS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,PUNTAJE TOTAL,CLASIFICACIÓN
,,Enrique,Gloria (*),Lita,Daniela,Cesar,,
,,,,,,,,
Jack Ramos y Alba Benavides ,243.0,5,5,6,6,4,26.0,CLASIFICADO
Aron Ayala y Joyce Pérez ,244.0,6,6,7,6,5,30.0,CLASIFICADO
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
