NOMBRES,N° PAREJA,CALIFICACIÓN DE 2 A 7 PUNTOS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,PUNTAJE TOTAL,CLASIFICACIÓN
,,Enrique,Gloria (*),Lita,Daniela,Cesar,,
,,,,,,,,
César González y Ainhoa Moran ,252.0,6,4,5,6,5,26.0,
Gonzalo Ugarte y Emilie Leana,253.0,4,6,6,5,5,26.0,
Sebastián R. León y Nicole Alondra Torres,254.0,6,5,6,7,6,30.0,CLASIFICADO
José Luis Sagastegui y Andrea Lucía Mendoza,255.0,6,6,6,7,5,30.0,CLASIFICADO
Jhostyn Vicente y Giuliana Monterroso ,256.0,6,6,6,7,6,31.0,CLASIFICADO
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
