NOMBRES,N° PAREJA,CALIFICACIÓN DE 2 A 7 PUNTOS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,PUNTAJE TOTAL,CLASIFICACIÓN
,,Enrique,Gloria (*),Lita,Silvia,Liodmila,,
,,,,,,,,
Juan Aguilar y Estela Motta ,280.0,5,6,7,6,6,30.0,CLASIFICADO
Miguel Ángel Cruz y Norma Chauca ,281.0,6,5,6,6,5,28.0,CLASIFICADO
Jean Claude y Silvia Lazo ,282.0,6,4,6,5,5,26.0,
Pedro Pachas López y Ana Isabel Leyva ,283.0,5,4,5,4,5,23.0,
Cristian Rodrígo Horna y Elke Yoli Brennecke,284.0,6,5,6,5,5,27.0,CLASIFICADO
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
