NOMBRES,N° PAREJA,CALIFICACIÓN DE 2 A 7 PUNTOS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,PUNTAJE TOTAL,CLASIFICACIÓN
,,Enrique,Gloria (*),Lita,Daniela,Cesar,,
,,,,,,,,
Christian Carrión y Veronika Drozen,269.0,6,4,6,6,6,28.0,CLASIFICADO
Gabriel Ramos y Rosa María Vilcapoma Hilario,270.0,5,4,4,4,4,21.0,
Juan Carlos Peralta y María Pizango ,271.0,5,5,5,4,5,24.0,
Freddy Pastor y Lesly L. Mendoza ,272.0,6,6,6,6,6,30.0,CLASIFICADO
Eduardo M. Revilla y Claudia N. Mendoza ,273.0,6,6,7,6,6,31.0,CLASIFICADO
Nilton Cárdenas y Rocío Núñez ,274.0,6,4,6,5,5,26.0,CLASIFICADO
Federico Torres y Lesly Gaona ,275.0,5,5,6,5,5,26.0,CLASIFICADO
Juan Carlos Luna y Karina Rosas ,276.0,5,4,5,4,4,22.0,
Carlos Sampen y Karla Tantalean ,277.0,5,4,5,4,4,22.0,
Alberto Moreno y Angelica Mora ,278.0,6,4,6,4,5,25.0,
Mario Samuel Castillo y Lissette Elizabeth ,279.0,6,6,6,6,6,30.0,CLASIFICADO
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
