NOMBRES,N° PAREJA,CALIFICACIÓN DE 2 A 7 PUNTOS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,PUNTAJE TOTAL,CLASIFICACIÓN
,,Enrique,Gloria (*),Lita,Daniela,Cesar,,
,,,,,,,,
Jesús Zúñiga y María Fernanda Zúñiga,358.0,5,4,6,5,4,24.0,
Haylu Valery Condori y Mario Rildo Fuertes,359.0,5,5,6,6,6,28.0,CLASIFICADO
Nicolás Mendoza y Sonia Mendoza ,360.0,6,6,6,6,6,30.0,CLASIFICADO
Matías Díaz Tantalean y Karla Tantalean ,361.0,5,5,5,4,5,24.0,
Camila Portal y Carlos Sampen ,362.0,5,5,6,5,4,25.0,
Alessia Navarro y Ángel Ynocente ,363.0,5,5,6,6,5,27.0,CLASIFICADO
Evelin Gaona Paredes y Ángel Luna ,364.0,5,4,5,5,4,23.0,
Mayaluz Carrera Villar y José Manuel Carrera ,365.0,4,6,6,5,6,27.0,CLASIFICADO
Ricardo Silva Dávalos y Dianira Dávalos ,366.0,5,5,6,6,4,26.0,CLASIFICADO
Merecedles Gervassi y Antonio García,367.0,,,,,,0.0,No presentad
Szwakopf y Diego Fernández,368.0,,,,,,0.0,No presentad
Victoria Cárdenas y David Cárdenas ,369.0,6,4,6,5,6,27.0,CLASIFICADO
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
