NOMBRES,N° PAREJA,CALIFICACIÓN DE 2 A 7 PUNTOS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,PUNTAJE TOTAL,CLASIFICACIÓN
,,Enrique,Gloria (*),Lita,Daniela,Cesar,,
,,,,,,,,
Alexis López y Maruxy Oviedo,292.0,5,5,5,5,5,25.0,CLASIFICADO
Eriberto Melendro y Rosa M. Álvarez ,293.0,,,,,,0.0,No presentado
Carlos Lezcano y Salet Bobilla ,294.0,6,6,6,6,6,30.0,CLASIFICADO
Jimi Carrera y Abigail Ramos ,295.0,5,4,6,5,4,24.0,
Jheriko Lagos y Camila Portal ,296.0,5,5,6,5,4,25.0,CLASIFICADO
Dayron Aoki Saíto y Tatiana Loayza ,297.0,6,6,6,6,4,28.0,CLASIFICADO
Piero A. Carmen y Jennifer K. Herrera ,298.0,5,5,5,5,5,25.0,CLASIFICADO
Ismael Vellón y Estrella López ,299.0,4,4,5,4,4,21.0,
Fabrizio Vargas y Miriam Zumaeta ,300.0,5,4,6,5,4,24.0,
Luis Alejandro Bocanegra y Sarita Corina Vilela ,301.0,6,4,6,6,6,28.0,CLASIFICADO
Nicolás Mendoza y Natalia Venegas ,302.0,5,4,6,5,4,24.0,
Mauricio Aguilar y Aprhil Velazco ,303.0,6,5,5,6,5,27.0,CLASIFICADO
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
